
                                                    
         »—’ќƒЌџ… ѕ–ќ‘»Ћ№ ƒќ–ќ∆ »  ј„≈Ќ»я           
                                                    
 -------------------------------------------------- 
 | є отсчета  | ”гол в градусах   |  –адиус в мм  | 
 |     146    |     205.313       |    9.27110000 |
 |     147    |     206.719       |    9.48720000 |
 |     148    |     208.125       |    9.70600000 |
 |     149    |     209.531       |    9.92650000 |
 |     150    |     210.938       |   10.14730000 |
 |     151    |     212.344       |   10.36730000 |
 |     152    |     213.750       |   10.58530000 |
 |     153    |     215.156       |   10.80020000 |
 |     154    |     216.563       |   11.01070000 |
 |     155    |     217.969       |   11.21580000 |
 |     156    |     219.375       |   11.41430000 |
 |     157    |     220.781       |   11.60510000 |
 |     158    |     222.188       |   11.78720000 |
 |     159    |     223.594       |   11.95960000 |
 |     160    |     225.000       |   12.12140000 |
 |     161    |     226.406       |   12.27170000 |
 |     162    |     227.813       |   12.40970000 |
 |     163    |     229.219       |   12.53460000 |
 |     164    |     230.625       |   12.64580000 |
 |     165    |     232.031       |   12.74270000 |
 |     166    |     233.438       |   12.82470000 |
 |     167    |     234.844       |   12.89140000 |
 |     168    |     236.250       |   12.94240000 |
 |     169    |     237.656       |   12.97740000 |
 |     170    |     239.063       |   12.99640000 |
 |     171    |     240.469       |   12.99910000 |
 |     172    |     241.875       |   12.98550000 |
 |     173    |     243.281       |   12.95580000 |
 |     174    |     244.688       |   12.91010000 |
 |     175    |     246.094       |   12.84860000 |
 |     176    |     247.500       |   12.77160000 |
 |     177    |     248.906       |   12.67960000 |
 |     178    |     250.313       |   12.57310000 |
 |     179    |     251.719       |   12.45270000 |
 |     180    |     253.125       |   12.31900000 |
 |     181    |     254.531       |   12.17270000 |
 |     182    |     255.938       |   12.01460000 |
 |     183    |     257.344       |   11.84560000 |
 |     184    |     258.750       |   11.66660000 |
 |     185    |     260.156       |   11.47860000 |
 |     186    |     261.563       |   11.28260000 |
 |     187    |     262.969       |   11.07960000 |
 |     188    |     264.375       |   10.87080000 |
 |     189    |     265.781       |   10.65720000 |
 |     190    |     267.188       |   10.44010000 |
 |     191    |     268.594       |   10.22060000 |
 |     192    |     270.000       |    9.99990000 |
 |     193    |     271.406       |    9.77920000 |
 |     194    |     272.813       |    9.55970000 |
 |     195    |     274.219       |    9.34260000 |
 |     196    |     275.625       |    9.12900000 |
 |     197    |     277.031       |    8.92020000 |
 |     198    |     278.438       |    8.71720000 |
 |     199    |     279.844       |    8.52120000 |
 |     200    |     281.250       |    8.33320000 |
 |     201    |     282.656       |    8.15420000 |
 |     202    |     284.063       |    7.98520000 |
 |     203    |     285.469       |    7.82720000 |
 |     204    |     286.875       |    7.68090000 |
 |     205    |     288.281       |    7.54720000 |
 |     206    |     289.688       |    7.42680000 |
 |     207    |     291.094       |    7.32030000 |
 |     208    |     292.500       |    7.22830000 |
 |     209    |     293.906       |    7.15140000 |
 |     210    |     295.313       |    7.08990000 |
 |     211    |     296.719       |    7.04410000 |
 |     212    |     298.125       |    7.01440000 |
 |     213    |     299.531       |    7.00090000 |
 |     214    |     300.938       |    7.00360000 |
 |     215    |     302.344       |    7.02260000 |
 |     216    |     303.750       |    7.05770000 |
 |     217    |     305.156       |    7.10870000 |
 |     218    |     306.563       |    7.17540000 |
 |     219    |     307.969       |    7.25740000 |
 |     220    |     309.375       |    7.35430000 |
 |     221    |     310.781       |    7.46550000 |
 |     222    |     312.188       |    7.59040000 |
 |     223    |     313.594       |    7.72840000 |
 |     224    |     315.000       |    7.87880000 |
 |     225    |     316.406       |    8.04060000 |
 |     226    |     317.813       |    8.21300000 |
 |     227    |     319.219       |    8.39510000 |
 |     228    |     320.625       |    8.58590000 |
 |     229    |     322.031       |    8.78440000 |
 |     230    |     323.438       |    8.98940000 |
 |     231    |     324.844       |    9.20000000 |
 |     232    |     326.250       |    9.41480000 |
 |     233    |     327.656       |    9.63290000 |
 |     234    |     329.063       |    9.85290000 |
 |     235    |     330.469       |   10.07370000 |
 |     236    |     331.875       |   10.29420000 |
 |     237    |     333.281       |   10.51300000 |
 |     238    |     334.688       |   10.72910000 |
 |     239    |     336.094       |   10.94120000 |
 |     240    |     337.500       |   11.14820000 |
 |     241    |     338.906       |   11.34890000 |
 |     242    |     340.313       |   11.54240000 |
 |     243    |     341.719       |   11.72750000 |
 |     244    |     343.125       |   11.90330000 |
 |     245    |     344.531       |   12.06870000 |
 |     246    |     345.938       |   12.22290000 |
 |     247    |     347.344       |   12.36510000 |
 |     248    |     348.750       |   12.49450000 |
 |     249    |     350.156       |   12.61030000 |
 |     250    |     351.563       |   12.71200000 |
 |     251    |     352.969       |   12.79900000 |
 |     252    |     354.375       |   12.87090000 |
 |     253    |     355.781       |   12.92710000 |
 |     254    |     357.188       |   12.96750000 |
 |     255    |     358.594       |   12.99190000 |
 -------------------------------------------------- 
                                                    
                                                    
 ---------------------------------------------------------------------------------------------------- 
                                                    
   –яƒ ‘”–№≈ ќѕ»—џ¬јёў»… ѕ–ќ‘»Ћ№ ƒќ–ќ∆ »  ј„≈Ќ»я    
                                                    
 –езультат( k ) =      10.00000391 
                    +   0.00001230 * cos( 2*pi/256 * k *  1 ) -   0.00000246 * sin( 2*pi/256 * k *  1 ) 
                    +   0.00002585 * cos( 2*pi/256 * k *  2 ) +   0.00000345 * sin( 2*pi/256 * k *  2 ) 
                    +   3.00000440 * cos( 2*pi/256 * k *  3 ) -   0.00004422 * sin( 2*pi/256 * k *  3 ) 
                    -   0.00002307 * cos( 2*pi/256 * k *  4 ) -   0.00000158 * sin( 2*pi/256 * k *  4 ) 
                    -   0.00000224 * cos( 2*pi/256 * k *  5 ) -   0.00000110 * sin( 2*pi/256 * k *  5 ) 
                    +   0.00000010 * cos( 2*pi/256 * k *  6 ) -   0.00000489 * sin( 2*pi/256 * k *  6 ) 
                    +   0.00000405 * cos( 2*pi/256 * k *  7 ) +   0.00000166 * sin( 2*pi/256 * k *  7 ) 
                    -   0.00000034 * cos( 2*pi/256 * k *  8 ) +   0.00000151 * sin( 2*pi/256 * k *  8 ) 
                    -   0.00000172 * cos( 2*pi/256 * k *  9 ) -   0.00000154 * sin( 2*pi/256 * k *  9 ) 
                    +   0.00000209 * cos( 2*pi/256 * k * 10 ) +   0.00000622 * sin( 2*pi/256 * k * 10 ) 
                    +   0.00000273 * cos( 2*pi/256 * k * 11 ) +   0.00000470 * sin( 2*pi/256 * k * 11 ) 
                    -   0.00000381 * cos( 2*pi/256 * k * 12 ) -   0.00000286 * sin( 2*pi/256 * k * 12 ) 
                    +   0.00000598 * cos( 2*pi/256 * k * 13 ) +   0.00000063 * sin( 2*pi/256 * k * 13 ) 
                    +   0.00000021 * cos( 2*pi/256 * k * 14 ) +   0.00000256 * sin( 2*pi/256 * k * 14 ) 
                    +   0.00000246 * cos( 2*pi/256 * k * 15 ) +   0.00000175 * sin( 2*pi/256 * k * 15 ) 
                    +   0.00000285 * cos( 2*pi/256 * k * 16 ) -   0.00000175 * sin( 2*pi/256 * k * 16 ) 
                    -   0.00000117 * cos( 2*pi/256 * k * 17 ) +   0.00000032 * sin( 2*pi/256 * k * 17 ) 
                    -   0.00000362 * cos( 2*pi/256 * k * 18 ) -   0.00000148 * sin( 2*pi/256 * k * 18 ) 
                    +   0.00000361 * cos( 2*pi/256 * k * 19 ) +   0.00000146 * sin( 2*pi/256 * k * 19 ) 
                    -   0.00000207 * cos( 2*pi/256 * k * 20 ) -   0.00000262 * sin( 2*pi/256 * k * 20 ) 
                    +   0.00000157 * cos( 2*pi/256 * k * 21 ) -   0.00000252 * sin( 2*pi/256 * k * 21 ) 
                    -   0.00000527 * cos( 2*pi/256 * k * 22 ) -   0.00000053 * sin( 2*pi/256 * k * 22 ) 
                    -   0.00000063 * cos( 2*pi/256 * k * 23 ) +   0.00000086 * sin( 2*pi/256 * k * 23 ) 
                    -   0.00000037 * cos( 2*pi/256 * k * 24 ) +   0.00000136 * sin( 2*pi/256 * k * 24 ) 
                    +   0.00000019 * cos( 2*pi/256 * k * 25 ) +   0.00000320 * sin( 2*pi/256 * k * 25 ) 
                    +   0.00000526 * cos( 2*pi/256 * k * 26 ) +   0.00000038 * sin( 2*pi/256 * k * 26 ) 
                    +   0.00000170 * cos( 2*pi/256 * k * 27 ) +   0.00000003 * sin( 2*pi/256 * k * 27 ) 
                    -   0.00000435 * cos( 2*pi/256 * k * 28 ) +   0.00000278 * sin( 2*pi/256 * k * 28 ) 
                    +   0.00000444 * cos( 2*pi/256 * k * 29 ) -   0.00000684 * sin( 2*pi/256 * k * 29 ) 
                    -   0.00000203 * cos( 2*pi/256 * k * 30 ) -   0.00000026 * sin( 2*pi/256 * k * 30 ) 
                    +   0.00000385 * cos( 2*pi/256 * k * 31 ) +   0.00000207 * sin( 2*pi/256 * k * 31 ) 
                    -   0.00000156 * cos( 2*pi/256 * k * 32 ) -   0.00000754 * sin( 2*pi/256 * k * 32 ) 
                    +   0.00000070 * cos( 2*pi/256 * k * 33 ) -   0.00000045 * sin( 2*pi/256 * k * 33 ) 
                    +   0.00000391 * cos( 2*pi/256 * k * 34 ) -   0.00000498 * sin( 2*pi/256 * k * 34 ) 
                    +   0.00000052 * cos( 2*pi/256 * k * 35 ) -   0.00000020 * sin( 2*pi/256 * k * 35 ) 
                    -   0.00000339 * cos( 2*pi/256 * k * 36 ) +   0.00000018 * sin( 2*pi/256 * k * 36 ) 
                    +   0.00000259 * cos( 2*pi/256 * k * 37 ) -   0.00000149 * sin( 2*pi/256 * k * 37 ) 
                    +   0.00000131 * cos( 2*pi/256 * k * 38 ) -   0.00000056 * sin( 2*pi/256 * k * 38 ) 
                    +   0.00000029 * cos( 2*pi/256 * k * 39 ) -   0.00000267 * sin( 2*pi/256 * k * 39 ) 
                    +   0.00000461 * cos( 2*pi/256 * k * 40 ) +   0.00000701 * sin( 2*pi/256 * k * 40 ) 
                    +   0.00000405 * cos( 2*pi/256 * k * 41 ) +   0.00000129 * sin( 2*pi/256 * k * 41 ) 
                    -   0.00000025 * cos( 2*pi/256 * k * 42 ) -   0.00000021 * sin( 2*pi/256 * k * 42 ) 
                    +   0.00000194 * cos( 2*pi/256 * k * 43 ) +   0.00000247 * sin( 2*pi/256 * k * 43 ) 
                    +   0.00000348 * cos( 2*pi/256 * k * 44 ) -   0.00000237 * sin( 2*pi/256 * k * 44 ) 
